,Country,Code,2019,country,depressive_disorders,anxiety_disorders
0,Afghanistan,AFG,2589.410395542,Afghanistan,4.945168,4.8510346
1,Angola,AGO,7533.51185400503,Angola,5.7441936,3.9340954
2,Albania,ALB,14617.7849093704,Albania,2.4602032,3.8375373
3,Andorra,AND,57573.6930490229,Andorra,3.6072073,5.45341
4,United Arab Emirates,ARE,78839.0924822846,United Arab Emirates,3.5784907,4.243272
5,Argentina,ARG,23535.01275094,Argentina,2.4075098,4.982973
6,Armenia,ARM,15729.1496950576,Armenia,2.9836516,3.1505976
7,American Samoa,ASM,,American Samoa,2.659042,4.044245
8,Antigua and Barbuda,ATG,26316.833216636,Antigua and Barbuda,3.0286796,4.3341727
9,Australia,AUS,52746.7182896307,Australia,4.382458,5.8151646
10,Austria,AUT,60574.6271030491,Austria,3.125201,6.0064344
11,Azerbaijan,AZE,16675.3179361558,Azerbaijan,2.7526312,2.4775383
12,Burundi,BDI,804.165344064637,Burundi,4.705153,3.6385643
13,Belgium,BEL,56621.5417607532,Belgium,3.5420222,5.04724
14,Benin,BEN,3260.76853616447,Benin,4.447893,3.2288494
15,Burkina Faso,BFA,2233.26155474138,Burkina Faso,4.378302,3.116734
16,Bangladesh,BGD,6025.08734934947,Bangladesh,4.6198096,3.1809232
17,Bulgaria,BGR,25526.2811018212,Bulgaria,2.6916606,3.3973696
18,Bahrain,BHR,53712.1485212388,Bahrain,4.5280886,4.937836
19,"Bahamas, The",BHS,34541.7074946553,Bahamas,3.0623364,4.3490176
20,Bosnia and Herzegovina,BIH,16354.0001369123,Bosnia and Herzegovina,2.7624497,3.5371947
21,Belarus,BLR,22301.5766886376,Belarus,3.824539,3.4831994
22,Belize,BLZ,10436.3335268005,Belize,3.309065,4.1840634
23,Bermuda,BMU,91263.4855956569,Bermuda,3.177548,4.329229
24,Bolivia,BOL,9091.92768943853,Bolivia,3.3994322,5.7405457
25,Brazil,BRA,15741.4785048749,Brazil,3.8015563,7.410114
26,Barbados,BRB,17459.1512630062,Barbados,3.1782775,4.328706
27,Brunei Darussalam,BRN,70087.0385001719,Brunei,1.6031243,2.856928
28,Bhutan,BTN,12864.7780099884,Bhutan,4.024815,3.2678254
29,Botswana,BWA,14889.8073026521,Botswana,4.2572603,3.5533912
30,Central African Republic,CAF,934.815543219503,Central African Republic,5.9238467,4.405564
31,Canada,CAN,50498.9731057448,Canada,3.2904658,4.3206058
32,Switzerland,CHE,73732.2353322093,Switzerland,3.705447,6.79061
33,Chile,CHL,25824.646525455,Chile,3.6435125,5.4619493
34,China,CHN,17262.1759037355,China,2.7240157,3.1641822
35,Cote d'Ivoire,CIV,5947.92408892987,Cote d'Ivoire,3.9350774,3.2402778
36,Cameroon,CMR,4195.67017521265,Cameroon,4.6046395,3.1999922
37,"Congo, Dem. Rep.",COD,1206.79811331271,Democratic Republic of Congo,5.44306,3.8151321
38,"Congo, Rep.",COG,5766.7549235887,Congo,5.5257406,3.7367034
39,Colombia,COL,16091.4990479231,Colombia,2.2196279,4.701662
40,Comoros,COM,3294.28830809778,Comoros,4.2631598,3.554554
41,Cabo Verde,CPV,7702.92356295124,Cape Verde,4.8429317,3.0854897
42,Costa Rica,CRI,22949.5286593344,Costa Rica,3.2132857,4.195216
43,Cuba,CUB,,Cuba,3.802294,4.2468786
44,Cyprus,CYP,44685.13671875,Cyprus,3.1127021,6.4671764
45,Czechia,CZE,44859.8005632951,Czechia,2.878852,3.1539073
46,Germany,DEU,58251.7730828469,Germany,3.3767943,6.208145
47,Djibouti,DJI,5471.96329378911,Djibouti,4.4612656,3.25465
48,Dominica,DMA,14451.5379197565,Dominica,3.0847688,4.2796836
49,Denmark,DNK,60787.4633578269,Denmark,3.4828994,4.873904
50,Dominican Republic,DOM,19743.4004485754,Dominican Republic,3.8231027,4.50035
51,Algeria,DZA,14084.1995307289,Algeria,4.1296806,4.771976
52,Ecuador,ECU,12540.3251223126,Ecuador,3.3306973,5.2311482
53,"Egypt, Arab Rep.",EGY,13608.499714576,Egypt,3.9397578,4.5883927
54,Eritrea,ERI,,Eritrea,4.841218,3.7323155
55,Spain,ESP,43739.63291058,Spain,4.704455,4.8611727
56,Estonia,EST,39843.6402328351,Estonia,3.6936426,3.3788164
57,Ethiopia,ETH,2274.21413875756,Ethiopia,4.64972,3.4656384
58,Finland,FIN,52569.8000550589,Finland,4.139295,3.9931211
59,Fiji,FJI,13168.3711793691,Fiji,2.917755,4.039825
60,France,FRA,51240.0683019805,France,3.835741,6.2742558
61,"Micronesia, Fed. Sts.",FSM,3681.58457039967,Micronesia (country),2.909947,4.0343943
62,Gabon,GAB,16126.8638637936,Gabon,5.5459714,3.9851205
63,United Kingdom,GBR,49911.1566522003,United Kingdom,4.0975676,4.4602027
64,Georgia,GEO,16770.1333771469,Georgia,3.3233132,2.4950473
65,Ghana,GHA,5952.40365708652,Ghana,4.3620286,3.0005414
66,Guinea,GIN,3143.64688288845,Guinea,4.3731165,3.3388844
67,"Gambia, The",GMB,2371.49204095162,Gambia,5.5018787,3.3126862
68,Guinea-Bissau,GNB,2089.86361634494,Guinea-Bissau,4.4942803,3.0934513
69,Equatorial Guinea,GNQ,17692.2997791637,Equatorial Guinea,5.728945,3.80493
70,Greece,GRC,31611.2114428141,Greece,5.0422506,5.7790413
71,Grenada,GRD,15542.4915644035,Grenada,3.23476,4.2821164
72,Greenland,GRL,64264.0564607393,Greenland,5.835712,4.8561225
73,Guatemala,GTM,11079.6273122238,Guatemala,3.6679313,4.263226
74,Guam,GUM,,Guam,3.1972318,4.013985
75,Guyana,GUY,13388.7060787131,Guyana,4.927692,4.3815017
76,Honduras,HND,5776.10368756323,Honduras,3.1551142,4.090965
77,Croatia,HRV,32329.560497984,Croatia,3.0076077,3.5950115
78,Haiti,HTI,3220.94295667871,Haiti,3.6351175,4.635318
79,Hungary,HUN,35152.6036961244,Hungary,2.8233702,3.4067228
80,Indonesia,IDN,12115.7020653839,Indonesia,2.4184713,3.5480037
81,India,IND,7181.52265434956,India,3.6598387,2.9674358
82,Ireland,IRL,90940.6347639116,Ireland,4.2169313,6.9078193
83,"Iran, Islamic Rep.",IRN,13423.5763123467,Iran,4.860692,7.26808
84,Iraq,IRQ,12139.1567751107,Iraq,3.9326482,5.33799
85,Iceland,ISL,60523.8179440827,Iceland,2.9365938,5.1037683
86,Israel,ISR,41513.4515105228,Israel,4.127255,3.7392616
87,Italy,ITA,46470.0373265754,Italy,3.561658,5.5624604
88,Jamaica,JAM,10117.5641663477,Jamaica,3.0646706,4.0547247
89,Jordan,JOR,9405.42015951739,Jordan,4.15211,4.933855
90,Japan,JPN,42678.1511448355,Japan,2.1032803,2.3241255
91,Kazakhstan,KAZ,29767.6280009312,Kazakhstan,3.4412057,2.1156304
92,Kenya,KEN,4710.50373969069,Kenya,4.723163,3.41804
93,Kyrgyz Republic,KGZ,5414.32715295984,Kyrgyzstan,3.3816984,2.0599196
94,Cambodia,KHM,4620.9633915234,Cambodia,2.9500995,4.579762
95,Kiribati,KIR,2751.8200827286,Kiribati,2.9703078,4.098131
96,St. Kitts and Nevis,KNA,31964.6901634196,Saint Kitts and Nevis,3.9269922,4.308869
97,"Korea, Rep.",KOR,43865.0416366745,South Korea,2.091181,3.2213244
98,Kuwait,KWT,49939.1247751688,Kuwait,4.0603004,4.599968
99,Lao PDR,LAO,7770.68624748182,Laos,2.7468913,4.5706754
100,Lebanon,LBN,21758.1032525002,Lebanon,4.652712,6.0510345
101,Liberia,LBR,1921.78608911742,Liberia,4.556289,3.5066519
102,Libya,LBY,17835.2800156724,Libya,4.406427,5.324334
103,St. Lucia,LCA,18584.3294381587,Saint Lucia,3.3162744,4.307126
104,Sri Lanka,LKA,14112.9525046152,Sri Lanka,2.8662298,4.0355477
105,Lesotho,LSO,2549.53527670624,Lesotho,5.511564,3.5554914
106,Lithuania,LTU,40577.8037367455,Lithuania,3.9911947,4.2541876
107,Luxembourg,LUX,121403.823719046,Luxembourg,3.2193074,5.2770224
108,Latvia,LVA,33294.5077885749,Latvia,3.7478287,3.748034
109,Morocco,MAR,8024.4052734375,Morocco,5.07854,4.7997293
110,Monaco,MCO,,Monaco,4.0564504,5.501611
111,Moldova,MDA,13413.2232935126,Moldova,3.22074,4.078755
112,Madagascar,MDG,1652.49342031181,Madagascar,4.737187,3.9632103
113,Maldives,MDV,22309.797480574,Maldives,2.9122725,3.5796337
114,Mexico,MEX,21095.7136967365,Mexico,3.5358298,3.5132816
115,Marshall Islands,MHL,5940.40051049616,Marshall Islands,2.8873966,4.0164247
116,North Macedonia,MKD,20221.8115696501,North Macedonia,2.570906,3.5915322
117,Mali,MLI,2437.55803624467,Mali,3.5413845,2.7260087
118,Malta,MLT,50327.6845543888,Malta,3.1311812,6.2475963
119,Myanmar,MMR,6055.41690613211,Myanmar,2.1933033,3.9770174
120,Montenegro,MNE,24139.8157053189,Montenegro,2.8178656,3.6586478
121,Mongolia,MNG,13753.3132529533,Mongolia,3.9632094,2.1429229
122,Northern Mariana Islands,MNP,,Northern Mariana Islands,2.780081,4.0044084
123,Mozambique,MOZ,1370.39867945741,Mozambique,4.992671,4.035234
124,Mauritania,MRT,5717.44904026701,Mauritania,3.6558447,2.7462342
125,Mauritius,MUS,24027.1189308354,Mauritius,3.8047628,3.8150282
126,Malawi,MWI,1465.55046880457,Malawi,4.100136,3.8456526
127,Malaysia,MYS,29495.4035170304,Malaysia,3.6630948,4.5992527
128,Namibia,NAM,10410.1305312869,Namibia,3.6164615,3.49189
129,Niger,NER,1389.16425492127,Niger,4.235215,2.9678462
130,Nigeria,NGA,5525.44378417473,Nigeria,3.8173978,2.9917774
131,Nicaragua,NIC,5819.31518544463,Nicaragua,3.2548654,4.3657975
132,Netherlands,NLD,61089.5834206486,Netherlands,3.5344012,6.7548013
133,Norway,NOR,70939.6055180362,Norway,3.2382026,6.7358413
134,Nepal,NPL,4198.84064499886,Nepal,4.8975983,3.2773163
135,Nauru,NRU,10083.1670103566,Nauru,3.1496468,4.0565453
136,New Zealand,NZL,45163.6964269884,New Zealand,3.7238638,7.263469
137,Oman,OMN,37157.3220419116,Oman,3.962998,4.61154
138,Pakistan,PAK,5206.90716506548,Pakistan,3.9425256,3.474194
139,Panama,PAN,33229.4960261777,Panama,2.9369144,3.6566825
140,Peru,PER,13408.3532412789,Peru,2.2116694,5.551791
141,Philippines,PHL,8958.3710638251,Philippines,2.779254,4.563437
142,Palau,PLW,18884.8678181437,Palau,3.089023,3.9466903
143,Papua New Guinea,PNG,4089.25558659817,Papua New Guinea,3.072686,3.995107
144,Poland,POL,35487.9109958983,Poland,2.2779574,3.082497
145,Puerto Rico,PRI,37453.788413823,Puerto Rico,2.8828056,4.442561
146,"Korea, Dem. People's Rep.",PRK,,North Korea,2.6769247,3.61212
147,Portugal,PRT,37845.2099689668,Portugal,4.3940663,8.02761
148,Paraguay,PRY,14117.1650851672,Paraguay,3.6945765,6.304892
149,West Bank and Gaza,PSE,6508.44835080318,Palestine,6.1989517,5.5458045
150,Qatar,QAT,101046.810986324,Qatar,3.9513783,4.26387
151,Romania,ROU,33549.3910967414,Romania,2.6501622,3.2856169
152,Russian Federation,RUS,30963.853515625,Russia,3.0799155,3.1336958
153,Rwanda,RWA,2325.31490871321,Rwanda,5.0970206,3.6533618
154,Saudi Arabia,SAU,47149.1762677518,Saudi Arabia,4.216069,4.5544286
155,Sudan,SDN,4123.92333984375,Sudan,4.4230967,4.745971
156,Senegal,SEN,3728.23453254079,Senegal,4.0294,2.8934357
157,Singapore,SGP,105542.413613949,Singapore,2.0081315,2.7080863
158,Solomon Islands,SLB,2710.55895164371,Solomon Islands,3.0039446,4.0285625
159,Sierra Leone,SLE,1623.65098400926,Sierra Leone,4.392157,3.6633224
160,El Salvador,SLV,9666.80207886866,El Salvador,3.4073691,4.4097867
161,San Marino,SMR,58259.2752445504,San Marino,4.0918827,5.542622
162,Somalia,SOM,1690.24112436661,Somalia,4.84665,3.2728631
163,Serbia,SRB,19688.2529700518,Serbia,2.814907,3.33539
164,South Sudan,SSD,,South Sudan,4.749942,4.9776773
165,Sao Tome and Principe,STP,4629.30024792066,Sao Tome and Principe,3.7094643,3.0837884
166,Suriname,SUR,19951.6088069919,Suriname,4.6881685,4.141955
167,Slovak Republic,SVK,33943.3498787454,Slovakia,2.695262,3.4256656
168,Slovenia,SVN,42747.9621118112,Slovenia,3.1152232,3.3891728
169,Sweden,SWE,57229.7767468145,Sweden,4.116486,4.795127
170,Eswatini,SWZ,9083.43786086594,Eswatini,4.4255295,3.4919646
171,Seychelles,SYC,34219.061370118,Seychelles,2.644615,3.7375588
172,Syrian Arab Republic,SYR,3546.65887524285,Syria,4.132855,5.60757
173,Chad,TCD,1846.97478392739,Chad,5.1334114,3.3696513
174,Togo,TGO,2273.81527752488,Togo,4.5008154,3.592497
175,Thailand,THA,20023.4457125017,Thailand,2.847038,3.399738
176,Tajikistan,TJK,3531.47913236689,Tajikistan,2.8172803,2.4035394
177,Turkmenistan,TKM,17100.0947873695,Turkmenistan,3.0497415,2.3415134
178,Timor-Leste,TLS,4617.02641040167,East Timor,2.804642,3.7955263
179,Tonga,TON,6571.52864022299,Tonga,2.6947968,4.062976
180,Trinidad and Tobago,TTO,26641.3891552789,Trinidad and Tobago,3.82637,3.8713686
181,Tunisia,TUN,12314.0859431414,Tunisia,5.049405,5.164141
182,Turkiye,TUR,28461.1790315919,Turkey,3.9422681,4.513604
183,Tuvalu,TUV,5004.69469231536,Tuvalu,3.1250875,4.007321
184,Tanzania,TZA,2947.126953125,Tanzania,4.651242,3.8125863
185,Uganda,UGA,2444.24828731179,Uganda,6.5845194,4.080157
186,Ukraine,UKR,14380.861328125,Ukraine,3.8973033,3.133128
187,Uruguay,URY,25548.0633843286,Uruguay,2.840908,5.1539445
188,United States,USA,65548.0707847572,United States,4.375998,5.6977477
189,Uzbekistan,UZB,7513.69754045368,Uzbekistan,3.164448,2.0256548
190,St. Vincent and the Grenadines,VCT,15233.6550901809,Saint Vincent and the Grenadines,3.3676143,4.2993255
191,"Venezuela, RB",VEN,,Venezuela,3.2147944,3.9995134
192,Virgin Islands (U.S.),VIR,40021.7775798021,United States Virgin Islands,3.3567483,4.365093
193,Viet Nam,VNM,11190.1531912569,Vietnam,2.473061,2.2873394
194,Vanuatu,VUT,3180.31333814746,Vanuatu,2.9744234,4.02928
195,Samoa,WSM,6573.42921554874,Samoa,2.8027563,4.027854
196,"Yemen, Rep.",YEM,,Yemen,4.8953676,4.7837157
197,South Africa,ZAF,13706.713815854,South Africa,4.298678,3.786144
198,Zambia,ZMB,3385.78657047215,Zambia,4.2194896,3.9692068
199,Zimbabwe,ZWE,2711.52933410429,Zimbabwe,3.3954756,3.1370168
