,Country,Code,2019,country,depressive_disorders,anxiety_disorders
0,Afghanistan,AFG,520.0,Afghanistan,4.945168,4.8510346
1,Angola,AGO,2110.0,Angola,5.7441936,3.9340954
2,Albania,ALB,5230.0,Albania,2.4602032,3.8375373
3,Andorra,AND,46530.0,Andorra,3.6072073,5.45341
4,United Arab Emirates,ARE,46210.0,United Arab Emirates,3.5784907,4.243272
5,Argentina,ARG,11220.0,Argentina,2.4075098,4.982973
6,Armenia,ARM,4880.0,Armenia,2.9836516,3.1505976
7,American Samoa,ASM,,American Samoa,2.659042,4.044245
8,Antigua and Barbuda,ATG,18090.0,Antigua and Barbuda,3.0286796,4.3341727
9,Australia,AUS,54970.0,Australia,4.382458,5.8151646
10,Austria,AUT,51000.0,Austria,3.125201,6.0064344
11,Azerbaijan,AZE,4510.0,Azerbaijan,2.7526312,2.4775383
12,Burundi,BDI,230.0,Burundi,4.705153,3.6385643
13,Belgium,BEL,48100.0,Belgium,3.5420222,5.04724
14,Benin,BEN,1200.0,Benin,4.447893,3.2288494
15,Burkina Faso,BFA,750.0,Burkina Faso,4.378302,3.116734
16,Bangladesh,BGD,2210.0,Bangladesh,4.6198096,3.1809232
17,Bulgaria,BGR,9500.0,Bulgaria,2.6916606,3.3973696
18,Bahrain,BHR,24420.0,Bahrain,4.5280886,4.937836
19,"Bahamas, The",BHS,30210.0,Bahamas,3.0623364,4.3490176
20,Bosnia and Herzegovina,BIH,6160.0,Bosnia and Herzegovina,2.7624497,3.5371947
21,Belarus,BLR,6370.0,Belarus,3.824539,3.4831994
22,Belize,BLZ,5820.0,Belize,3.309065,4.1840634
23,Bermuda,BMU,117280.0,Bermuda,3.177548,4.329229
24,Bolivia,BOL,3440.0,Bolivia,3.3994322,5.7405457
25,Brazil,BRA,9220.0,Brazil,3.8015563,7.410114
26,Barbados,BRB,17820.0,Barbados,3.1782775,4.328706
27,Brunei Darussalam,BRN,31880.0,Brunei,1.6031243,2.856928
28,Bhutan,BTN,3360.0,Bhutan,4.024815,3.2678254
29,Botswana,BWA,6630.0,Botswana,4.2572603,3.5533912
30,Central African Republic,CAF,470.0,Central African Republic,5.9238467,4.405564
31,Canada,CAN,46580.0,Canada,3.2904658,4.3206058
32,Switzerland,CHE,83160.0,Switzerland,3.705447,6.79061
33,Chile,CHL,14820.0,Chile,3.6435125,5.4619493
34,China,CHN,10310.0,China,2.7240157,3.1641822
35,Cote d'Ivoire,CIV,2290.0,Cote d'Ivoire,3.9350774,3.2402778
36,Cameroon,CMR,1540.0,Cameroon,4.6046395,3.1999922
37,"Congo, Dem. Rep.",COD,510.0,Democratic Republic of Congo,5.44306,3.8151321
38,"Congo, Rep.",COG,2200.0,Congo,5.5257406,3.7367034
39,Colombia,COL,6590.0,Colombia,2.2196279,4.701662
40,Comoros,COM,1520.0,Comoros,4.2631598,3.554554
41,Cabo Verde,CPV,3930.0,Cape Verde,4.8429317,3.0854897
